Date,Sales_Brot,Sales_Broetchen,Sales_Croissant,Sales_Konditorei,Sales_Kuchen,Sales_Saisonbrot,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,holiday,holiday_1_weihnachtstag,holiday_2_weihnachtstag,holiday_christi_himmelfahrt,holiday_karfreitag,holiday_neujahr,holiday_ostermontag,holiday_ostersonntag,holiday_pfingstmontag,holiday_pfingstsonntag,holiday_reformationstag,holiday_tag_der_arbeit,holiday_tag_der_deutschen_einheit,school_holiday,school_holiday_herbstferien,school_holiday_osterferien,school_holiday_pfingstferien,school_holiday_sommerferien,school_holiday_weihnachtsferien,KielerWoche,weekday,month,dayofmonth,dayofyear,year
2013-07-01,148.828353112183,535.856284785361,201.198425690037,65.890168799361,317.47587493303797,0.0,6.0,17.8375,15,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,0,7,1,182,13
2013-07-02,159.79375714468,546.7807873922969,265.261253994438,74.5439171827412,383.628681612577,0.0,3.0,17.3125,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,1,7,2,183,13
2013-07-03,111.885593514353,427.34325874998297,210.260241465493,69.2627280649987,305.52307232531797,0.0,7.0,21.075,6,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,2,7,3,184,13
2013-07-04,168.864940979931,454.859641347987,190.68664137858602,61.490175369225,308.408167942149,0.0,7.0,18.85,7,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,3,7,4,185,13
2013-07-05,171.28075411795498,492.81880406608803,181.644870215041,86.75986144519241,355.518770367742,0.0,5.0,19.975,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,4,7,5,186,13
2013-07-06,174.552359998476,631.9060680384839,291.557959835153,80.6465768881107,361.866932797941,0.0,0.0,18.9625,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,5,7,6,187,13
2013-07-07,92.6377553788373,695.25572963054,279.66593883344297,94.6039024817053,370.20960108863,0.0,0.0,21.375,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,6,7,7,188,13
2013-07-08,135.500244042392,538.529249911711,195.158794309303,49.50002386330421,285.233382496522,0.0,0.0,22.725,10,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,0,7,8,189,13
2013-07-09,136.048382778344,585.957264698849,245.80833850972198,75.2089975834558,342.089345776475,0.0,0.0,23.275,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,1,7,9,190,13
2013-07-10,135.132314289581,567.365764527953,265.10914254404497,73.8056511129258,343.353066508123,0.0,2.0,19.6875,13,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,2,7,10,191,13
2013-07-11,138.549392636714,569.109374584873,234.65807920749,68.6330279122302,315.911756962233,0.0,0.0,21.375,12,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,3,7,11,192,13
2013-07-12,101.447511461298,600.2679146787831,290.199097765019,0.0,362.802489634211,0.0,0.0,20.2875,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,4,7,12,193,13
2013-07-13,141.233309883732,747.140776382576,340.04663273653097,74.2744737887665,359.16618884339204,0.0,1.0,20.125,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,5,7,13,194,13
2013-07-14,112.52436570876199,777.0488416692821,320.626816189556,115.271617188867,461.08212452461896,0.0,5.0,17.6875,15,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,6,7,14,195,13
2013-07-15,161.264677322182,596.995099998235,243.526401440661,99.4935305857439,380.68369651152,0.0,6.0,18.7375,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,0,7,15,196,13
2013-07-16,116.82135817421499,558.797138274201,287.415464972525,91.77969760810329,320.43533597922,0.0,1.0,21.1875,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,1,7,16,197,13
2013-07-17,150.572919592838,628.3257189780729,301.77743797049703,0.0,396.99424714405995,0.0,5.0,22.5125,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,2,7,17,198,13
2013-07-18,101.90072129658002,647.822253705942,250.426586853024,89.2058404577425,300.398790118057,0.0,1.0,23.25,11,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,3,7,18,199,13
2013-07-19,161.63511518654,646.788959790823,287.18828629416,62.06360988169929,369.400389277533,0.0,3.0,22.475,16,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,4,7,19,200,13
2013-07-20,134.328076682024,843.0512800353861,394.765674710477,69.9369965472912,346.154004294146,0.0,0.0,23.1875,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,5,7,20,201,13
2013-07-21,66.2887578161955,815.942264195776,346.658236387984,82.6826868784511,287.44378853156104,0.0,0.0,26.375,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,6,7,21,202,13
2013-07-22,131.223948997842,647.682748973215,297.712614415266,99.3353908053911,356.484067206325,0.0,0.0,26.1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,0,7,22,203,13
2013-07-23,110.31524679666501,691.043662205889,323.30143166334096,70.5290024618065,316.29681714496,0.0,0.0,24.95,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,1,7,23,204,13
2013-07-24,141.891908195545,698.3408620770019,328.023102507764,83.5816326885927,327.339400651794,0.0,3.0,24.075,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,2,7,24,205,13
2013-07-25,167.701216640907,681.250768331783,280.80972101232203,65.8902979709521,303.192537586556,0.0,2.0,23.0875,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,3,7,25,206,13
2013-07-26,147.272084366206,718.016648132155,352.29388334364097,53.198456231125895,331.522091778847,0.0,3.0,27.2625,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,4,7,26,207,13
2013-07-27,161.403357795112,855.619095347599,382.965879977945,0.0,358.892714466409,0.0,1.0,26.1625,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,5,7,27,208,13
2013-07-28,86.07914324466542,871.8025464558369,360.09610522369695,0.0,437.82479549509696,0.0,4.0,24.8875,13,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,6,7,28,209,13
2013-07-29,183.564164400591,672.50214523923,356.03343473507897,0.0,368.951029057165,0.0,1.0,22.7875,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,0,7,29,210,13
2013-07-30,132.111640117897,690.1177571200391,354.531775116541,0.0,424.086156965952,0.0,5.0,21.075,13,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,1,7,30,211,13
2013-07-31,144.745431773143,667.842224335937,321.075920611583,0.0,426.985804024935,0.0,5.0,20.275,16,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,2,7,31,212,13
2013-08-01,157.854023011106,667.2137193432869,304.830310037868,60.5614573229725,322.294307178179,0.0,6.0,23.4,7,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,3,8,1,213,13
2013-08-02,117.35934209488899,689.695100983376,379.526700654912,68.1222020855149,282.371517214865,0.0,0.0,31.4375,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,4,8,2,214,13
2013-08-03,186.027178770079,930.801703150498,454.705780795563,51.2749992906831,399.28331637011496,0.0,4.0,23.3625,11,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,sommerferien,0,0,0,1,0,0,5,8,3,215,13
2013-08-04,104.708216687715,862.752429028985,382.85648750844,67.15688162453779,461.704848992483,0.0,3.0,23.05,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,216,13
2013-08-05,146.775309890073,520.947179812455,331.615355447409,0.0,354.24724340846296,0.0,0.0,25.8,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,217,13
2013-08-06,131.956277381283,498.920948322354,344.104806694018,69.705360420462,441.521507016938,0.0,5.0,22.225,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,218,13
2013-08-07,160.593417296116,519.1972046958319,341.483544581514,83.1094116270633,423.85031819153295,0.0,4.0,19.2125,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,219,13
2013-08-08,153.099424561652,486.25509543792,298.00551979286803,96.7720958104522,464.87537153539,0.0,7.0,16.975,12,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,220,13
2013-08-09,125.620344387906,539.975155104136,328.22992428157,81.4817797241125,450.085987485785,0.0,4.0,20.3375,10,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,221,13
2013-08-10,185.177162656408,614.511830668785,351.617029216224,59.98111236445029,450.993337129113,0.0,7.0,19.3625,12,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,222,13
2013-08-11,73.2088330039992,666.9113081568,341.033029953849,60.708785761907905,583.491717818235,0.0,7.0,16.3875,9,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,223,13
2013-08-12,154.504729536697,510.019126480035,253.6233554703,97.7406166426712,356.026341718574,0.0,7.0,16.45,11,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,224,13
2013-08-13,134.064451548102,535.403212817658,271.59128383417703,113.863641914766,344.643463915453,0.0,3.0,16.4,16,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13,225,13
2013-08-14,156.97251053686898,520.123590697437,309.116290264651,105.56786524188699,441.253111778104,0.0,4.0,18.2625,18,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,226,13
2013-08-15,164.763795399756,538.231262832354,266.575408936199,59.7561020638342,416.61003775578104,0.0,3.0,19.8,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,227,13
2013-08-16,147.79799759803998,552.1537146010251,241.76897512804,75.25646195915391,344.468629393561,0.0,4.0,23.575,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,228,13
2013-08-17,221.630418006017,583.657434231324,280.170045804428,96.52931350821041,519.8349293941529,0.0,6.0,20.55,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,229,13
2013-08-18,92.489778506026,669.186211470815,282.599786111443,150.12239694269698,479.499541699925,0.0,7.0,18.5875,10,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,230,13
