date,sales_brot,sales_broetchen,sales_croissant,sales_konditorei,sales_kuchen,sales_saisonbrot,bewoelkung,temperatur,windgeschwindigkeit,wettercode,kielerwoche,holiday,holiday_1_weihnachtstag,holiday_2_weihnachtstag,holiday_christi_himmelfahrt,holiday_karfreitag,holiday_neujahr,holiday_ostermontag,holiday_pfingstmontag,holiday_reformationstag,holiday_tag_der_arbeit,holiday_tag_der_deutschen_einhei,school_holiday,school_holiday_herbstferien,school_holiday_osterferien,school_holiday_pfingstferien,school_holiday_sommerferien,school_holiday_weihnachtsferien,weekday,month,day,year,holiday_total
"2013-07-01,148.8284,535.8563,201.1984,65.89017,317.4759,0,6,17.8375,15,20,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,0,7,1,1,0"
"2013-07-02,159.7938,546.7808,265.2613,74.54391,383.6287,0,3,17.3125,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,1,7,2,2,0"
"2013-07-03,111.8856,427.3433,210.2602,69.26273,305.5231,0,7,21.075,6,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,2,7,3,3,0"
"2013-07-04,168.8649,454.8596,190.6866,61.49018,308.4082,0,7,18.85,7,20,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,3,7,4,4,0"
"2013-07-05,171.2808,492.8188,181.6449,86.75986,355.5188,0,5,19.975,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,4,7,5,5,0"
"2013-07-06,174.5524,631.9061,291.558,80.64658,361.8669,0,0,18.9625,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,5,7,6,6,0"
"2013-07-07,92.63776,695.2557,279.6659,94.6039,370.2096,0,0,21.375,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,6,7,7,7,0"
"2013-07-08,135.5002,538.5292,195.1588,49.50002,285.2334,0,0,22.725,10,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,0,7,8,8,0"
"2013-07-09,136.0484,585.9573,245.8083,75.209,342.0894,0,0,23.275,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,1,7,9,9,0"
"2013-07-10,135.1323,567.3658,265.1091,73.80565,343.3531,0,2,19.6875,13,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,2,7,10,10,0"
