,holiday,Datum
0,Neujahrstag,2013-01-01
1,Karfreitag,2013-03-29
2,Ostermontag,2013-04-01
3,Tag der Arbeit,2013-05-01
4,Christi Himmelfahrt,2013-05-09
5,Pfingstmontag,2013-05-20
6,Tag der Deutschen Einheit,2013-10-03
7,1. Weihnachtstag,2013-12-25
8,2. Weihnachtstag,2013-12-26
9,Ostersonntag,2013-03-31
10,Pfingstsonntag,2013-05-19
11,Valentinstag,2013-02-14
12,Silvester,2013-12-31
13,Halloween,2013-12-31
14,Heiligabend,2013-12-24
15,Muttertag,2013-12-24
16,Neujahrstag,2014-01-01
17,Karfreitag,2014-04-18
18,Ostermontag,2014-04-21
19,Tag der Arbeit,2014-05-01
20,Christi Himmelfahrt,2014-05-29
21,Pfingstmontag,2014-06-09
22,Tag der Deutschen Einheit,2014-10-03
23,1. Weihnachtstag,2014-12-25
24,2. Weihnachtstag,2014-12-26
25,Ostersonntag,2014-04-20
26,Pfingstsonntag,2014-06-08
27,Valentinstag,2014-02-14
28,Silvester,2014-12-31
29,Halloween,2014-10-31
30,Heiligabend,2014-12-24
31,Muttertag,2014-12-24
32,Neujahrstag,2015-01-01
33,Karfreitag,2015-04-03
34,Ostermontag,2015-04-06
35,Tag der Arbeit,2015-05-01
36,Christi Himmelfahrt,2015-05-14
37,Pfingstmontag,2015-05-25
38,Tag der Deutschen Einheit,2015-10-03
39,1. Weihnachtstag,2015-12-25
40,2. Weihnachtstag,2015-12-26
41,Ostersonntag,2015-04-05
42,Pfingstsonntag,2015-05-24
43,Valentinstag,2015-02-14
44,Silvester,2015-12-31
45,Halloween,2015-10-31
46,Heiligabend,2015-12-24
47,Muttertag,2015-12-24
48,Neujahrstag,2016-01-01
49,Karfreitag,2016-03-25
50,Ostermontag,2016-03-28
51,Tag der Arbeit,2016-05-01
52,Christi Himmelfahrt,2016-05-05
53,Pfingstmontag,2016-05-16
54,Tag der Deutschen Einheit,2016-10-03
55,1. Weihnachtstag,2016-12-25
56,2. Weihnachtstag,2016-12-26
57,Ostersonntag,2016-03-27
58,Pfingstsonntag,2016-05-15
59,Valentinstag,2016-02-14
60,Silvester,2016-12-31
61,Halloween,2016-10-31
62,Heiligabend,2016-12-24
63,Muttertag,2016-12-24
64,Neujahrstag,2017-01-01
65,Karfreitag,2017-04-14
66,Ostermontag,2017-04-17
67,Tag der Arbeit,2017-05-01
68,Christi Himmelfahrt,2017-05-25
69,Pfingstmontag,2017-06-05
70,Tag der Deutschen Einheit,2017-10-03
71,1. Weihnachtstag,2017-12-25
72,2. Weihnachtstag,2017-12-26
73,Ostersonntag,2017-04-16
74,Pfingstsonntag,2017-06-04
75,Valentinstag,2017-02-14
76,Silvester,2017-12-31
77,Halloween,2017-10-31
78,Heiligabend,2017-12-24
79,Muttertag,2017-12-24
80,Neujahrstag,2018-01-01
81,Karfreitag,2018-03-30
82,Ostermontag,2018-04-02
83,Tag der Arbeit,2018-05-01
84,Christi Himmelfahrt,2018-05-10
85,Pfingstmontag,2018-05-21
86,Tag der Deutschen Einheit,2018-10-03
87,1. Weihnachtstag,2018-12-25
88,2. Weihnachtstag,2018-12-26
89,Ostersonntag,2018-04-01
90,Pfingstsonntag,2018-05-20
91,Valentinstag,2018-02-14
92,Silvester,2018-12-31
93,Halloween,2018-10-31
94,Heiligabend,2018-12-24
95,Muttertag,2018-12-24
96,Neujahrstag,2019-01-01
97,Karfreitag,2019-04-19
98,Ostermontag,2019-04-22
99,Tag der Arbeit,2019-05-01
100,Christi Himmelfahrt,2019-05-30
101,Pfingstmontag,2019-06-10
102,Tag der Deutschen Einheit,2019-10-03
103,1. Weihnachtstag,2019-12-25
104,2. Weihnachtstag,2019-12-26
105,Ostersonntag,2019-04-21
106,Pfingstsonntag,2019-06-09
107,Valentinstag,2019-02-14
108,Silvester,2019-12-31
109,Halloween,2019-10-31
110,Heiligabend,2019-12-24
111,Muttertag,2019-12-24
