,school_holiday
2013-03-25,osterferien
2013-03-26,osterferien
2013-03-27,osterferien
2013-03-28,osterferien
2013-03-29,osterferien
2013-03-30,osterferien
2013-03-31,osterferien
2013-04-01,osterferien
2013-04-02,osterferien
2013-04-03,osterferien
2013-04-04,osterferien
2013-04-05,osterferien
2013-04-06,osterferien
2013-04-07,osterferien
2013-04-08,osterferien
2013-04-09,osterferien
2013-05-10,pfingstferien
2013-06-24,sommerferien
2013-06-25,sommerferien
2013-06-26,sommerferien
2013-06-27,sommerferien
2013-06-28,sommerferien
2013-06-29,sommerferien
2013-06-30,sommerferien
2013-07-01,sommerferien
2013-07-02,sommerferien
2013-07-03,sommerferien
2013-07-04,sommerferien
2013-07-05,sommerferien
2013-07-06,sommerferien
2013-07-07,sommerferien
2013-07-08,sommerferien
2013-07-09,sommerferien
2013-07-10,sommerferien
2013-07-11,sommerferien
2013-07-12,sommerferien
2013-07-13,sommerferien
2013-07-14,sommerferien
2013-07-15,sommerferien
2013-07-16,sommerferien
2013-07-17,sommerferien
2013-07-18,sommerferien
2013-07-19,sommerferien
2013-07-20,sommerferien
2013-07-21,sommerferien
2013-07-22,sommerferien
2013-07-23,sommerferien
2013-07-24,sommerferien
2013-07-25,sommerferien
2013-07-26,sommerferien
2013-07-27,sommerferien
2013-07-28,sommerferien
2013-07-29,sommerferien
2013-07-30,sommerferien
2013-07-31,sommerferien
2013-08-01,sommerferien
2013-08-02,sommerferien
2013-08-03,sommerferien
2013-10-21,herbstferien
2013-10-22,herbstferien
2013-10-23,herbstferien
2013-10-24,herbstferien
2013-10-25,herbstferien
2013-10-26,herbstferien
2013-10-27,herbstferien
2013-10-28,herbstferien
2013-10-29,herbstferien
2013-10-30,herbstferien
2013-10-31,herbstferien
2013-11-01,herbstferien
2013-11-02,herbstferien
2013-12-23,weihnachtsferien
2013-12-24,weihnachtsferien
2013-12-25,weihnachtsferien
2013-12-26,weihnachtsferien
2013-12-27,weihnachtsferien
2013-12-28,weihnachtsferien
2013-12-29,weihnachtsferien
2013-12-30,weihnachtsferien
2013-12-31,weihnachtsferien
2014-01-01,weihnachtsferien
2014-01-02,weihnachtsferien
2014-01-03,weihnachtsferien
2014-01-04,weihnachtsferien
2014-04-16,osterferien
2014-04-17,osterferien
2014-04-18,osterferien
2014-04-19,osterferien
2014-04-20,osterferien
2014-04-21,osterferien
2014-04-22,osterferien
2014-04-23,osterferien
2014-04-24,osterferien
2014-04-25,osterferien
2014-04-26,osterferien
2014-04-27,osterferien
2014-04-28,osterferien
2014-04-29,osterferien
2014-04-30,osterferien
2014-05-01,osterferien
2014-05-02,osterferien
2014-05-30,pfingstferien
2014-07-14,sommerferien
2014-07-15,sommerferien
2014-07-16,sommerferien
2014-07-17,sommerferien
2014-07-18,sommerferien
2014-07-19,sommerferien
2014-07-20,sommerferien
2014-07-21,sommerferien
2014-07-22,sommerferien
2014-07-23,sommerferien
2014-07-24,sommerferien
2014-07-25,sommerferien
2014-07-26,sommerferien
2014-07-27,sommerferien
2014-07-28,sommerferien
2014-07-29,sommerferien
2014-07-30,sommerferien
2014-07-31,sommerferien
2014-08-01,sommerferien
2014-08-02,sommerferien
2014-08-03,sommerferien
2014-08-04,sommerferien
2014-08-05,sommerferien
2014-08-06,sommerferien
2014-08-07,sommerferien
2014-08-08,sommerferien
2014-08-09,sommerferien
2014-08-10,sommerferien
2014-08-11,sommerferien
2014-08-12,sommerferien
2014-08-13,sommerferien
2014-08-14,sommerferien
2014-08-15,sommerferien
2014-08-16,sommerferien
2014-08-17,sommerferien
2014-08-18,sommerferien
2014-08-19,sommerferien
2014-08-20,sommerferien
2014-08-21,sommerferien
2014-08-22,sommerferien
2014-08-23,sommerferien
2014-10-13,herbstferien
2014-10-14,herbstferien
2014-10-15,herbstferien
2014-10-16,herbstferien
2014-10-17,herbstferien
2014-10-18,herbstferien
2014-10-19,herbstferien
2014-10-20,herbstferien
2014-10-21,herbstferien
2014-10-22,herbstferien
2014-10-23,herbstferien
2014-10-24,herbstferien
2014-10-25,herbstferien
2014-12-22,weihnachtsferien
2014-12-23,weihnachtsferien
2014-12-24,weihnachtsferien
2014-12-25,weihnachtsferien
2014-12-26,weihnachtsferien
2014-12-27,weihnachtsferien
2014-12-28,weihnachtsferien
2014-12-29,weihnachtsferien
2014-12-30,weihnachtsferien
2014-12-31,weihnachtsferien
2015-01-01,weihnachtsferien
2015-01-02,weihnachtsferien
2015-01-03,weihnachtsferien
2015-04-01,osterferien
2015-04-02,osterferien
2015-04-03,osterferien
2015-04-04,osterferien
2015-04-05,osterferien
2015-04-06,osterferien
2015-04-07,osterferien
2015-04-08,osterferien
2015-04-09,osterferien
2015-04-10,osterferien
2015-04-11,osterferien
2015-04-12,osterferien
2015-04-13,osterferien
2015-04-14,osterferien
2015-04-15,osterferien
2015-04-16,osterferien
2015-04-17,osterferien
2015-05-15,pfingstferien
2015-07-20,sommerferien
2015-07-21,sommerferien
2015-07-22,sommerferien
2015-07-23,sommerferien
2015-07-24,sommerferien
2015-07-25,sommerferien
2015-07-26,sommerferien
2015-07-27,sommerferien
2015-07-28,sommerferien
2015-07-29,sommerferien
2015-07-30,sommerferien
2015-07-31,sommerferien
2015-08-01,sommerferien
2015-08-02,sommerferien
2015-08-03,sommerferien
2015-08-04,sommerferien
2015-08-05,sommerferien
2015-08-06,sommerferien
2015-08-07,sommerferien
2015-08-08,sommerferien
2015-08-09,sommerferien
2015-08-10,sommerferien
2015-08-11,sommerferien
2015-08-12,sommerferien
2015-08-13,sommerferien
2015-08-14,sommerferien
2015-08-15,sommerferien
2015-08-16,sommerferien
2015-08-17,sommerferien
2015-08-18,sommerferien
2015-08-19,sommerferien
2015-08-20,sommerferien
2015-08-21,sommerferien
2015-08-22,sommerferien
2015-08-23,sommerferien
2015-08-24,sommerferien
2015-08-25,sommerferien
2015-08-26,sommerferien
2015-08-27,sommerferien
2015-08-28,sommerferien
2015-08-29,sommerferien
2015-10-19,herbstferien
2015-10-20,herbstferien
2015-10-21,herbstferien
2015-10-22,herbstferien
2015-10-23,herbstferien
2015-10-24,herbstferien
2015-10-25,herbstferien
2015-10-26,herbstferien
2015-10-27,herbstferien
2015-10-28,herbstferien
2015-10-29,herbstferien
2015-10-30,herbstferien
2015-10-31,herbstferien
2015-12-23,weihnachtsferien
2015-12-24,weihnachtsferien
2015-12-25,weihnachtsferien
2015-12-26,weihnachtsferien
2015-12-27,weihnachtsferien
2015-12-28,weihnachtsferien
2015-12-29,weihnachtsferien
2015-12-30,weihnachtsferien
2015-12-31,weihnachtsferien
2016-01-01,weihnachtsferien
2016-01-02,weihnachtsferien
2016-03-23,osterferien
2016-03-24,osterferien
2016-03-25,osterferien
2016-03-26,osterferien
2016-03-27,osterferien
2016-03-28,osterferien
2016-03-29,osterferien
2016-03-30,osterferien
2016-03-31,osterferien
2016-04-01,osterferien
2016-04-02,osterferien
2016-04-03,osterferien
2016-04-04,osterferien
2016-04-05,osterferien
2016-04-06,osterferien
2016-04-07,osterferien
2016-04-08,osterferien
2016-04-09,osterferien
2016-05-06,pfingstferien
2016-07-25,sommerferien
2016-07-26,sommerferien
2016-07-27,sommerferien
2016-07-28,sommerferien
2016-07-29,sommerferien
2016-07-30,sommerferien
2016-07-31,sommerferien
2016-08-01,sommerferien
2016-08-02,sommerferien
2016-08-03,sommerferien
2016-08-04,sommerferien
2016-08-05,sommerferien
2016-08-06,sommerferien
2016-08-07,sommerferien
2016-08-08,sommerferien
2016-08-09,sommerferien
